sector,area,price,feature
sector 51,4,1.1,Basic
sector 22b,5,0.9,Basic
sector 23a,6,0.03,Basic
sector 67,6,0.75,Premium
sector 70a,6,0.47,Premium
sector 67,6,0.72,Standard
sector 67,7,0.12,Basic
sector 67,7,0.16,Standard
sector 67,7,0.12,Standard
sector 3,8,0.8,Basic
sector 66,9,0.25,Basic
sector 67,9,0.23,Basic
sohna road,9,0.15,Basic
sector 45,9,2.0,Basic
sector 52,9,1.6,Premium
sector 85,9,1.35,Premium
sector 69,9,0.75,Standard
sector 57,9,2.25,Premium
sector 42,9,2.25,Premium
sohna road,9,0.17,Premium
sector 66,9,0.15,Premium
sohna road,9,0.18,Premium
sector 67,9,0.15,Standard
sector 105,9,0.6,Basic
sector 95b,9,0.13,Basic
sector 110 a,10,1.64,Basic
sector 78,11,1.2,Premium
sector 11,11,0.15,Standard
sector 99a,11,1.06,Premium
sector 78,11,1.26,Basic
sector 88a,11,1.38,Basic
sector 99a,11,1.09,Basic
sector 95,11,0.9,Basic
sector 106,11,1.35,Basic
sector 112,12,1.72,Premium
sohna road,12,0.89,Premium
sector 112,12,1.72,Premium
sector 99a,12,1.25,Basic
sector 35,12,0.9,Premium
sector 95,14,1.3,Basic
sector 43,14,3.1,Basic
sector 95,14,1.25,Premium
sector 78,14,1.67,Basic
sector 23,14,2.58,Standard
sector 10,15,2.7,Basic
sohna road,15,0.6,Standard
sector 43,15,3.19,Basic
sohna road,15,0.24,Premium
sector 110,15,0.7,Basic
sector 70a,16,2.5,Basic
sector 35 sohna,16,1.97,Premium
sector 88a,16,1.72,Premium
sector 93,17,2.23,Basic
sector 99a,17,1.98,Basic
sector 14,17,0.68,Basic
pataudi,17,0.9,Basic
sector 108,17,2.5,Premium
sector 78,17,2.05,Premium
sector 88b,17,1.86,Premium
sector 108,17,2.3,Basic
sector 102,17,2.95,Standard
sector 70a,17,3.13,Premium
sector 108,17,2.53,Premium
sector 88b,17,1.65,Premium
sector 88,17,2.07,Premium
sector 88a,17,2.0,Standard
sohna road,17,0.32,Standard
sector 33 sohna,17,2.34,Premium
sector 88,17,1.96,Premium
sohna road,17,1.33,Premium
sector 108,17,2.26,Basic
sector 33 sohna,17,3.5,Basic
sector 89,18,3.13,Standard
sector 108,18,2.35,Basic
sector 71,18,0.5,Basic
sector 33 sohna,19,2.18,Basic
sector 45,19,3.8,Premium
sector 108,19,2.4,Premium
sector 57,19,3.8,Premium
sector 88a,19,2.87,Standard
sector 43,20,4.9,Standard
sector 49,20,4.8,Premium
farukhnagar,22,0.38,Premium
sector 102,22,3.6,Standard
sector 83,22,3.24,Standard
sector 53,23,4.0,Basic
sector 67,23,7.0,Basic
sector 22,23,1.0,Basic
sohna road,23,1.1,Basic
sector 108,23,3.0,Premium
sector 33 sohna,23,2.54,Basic
sector 33 sohna,23,3.7,Premium
sector 11,23,0.26,Premium
sector 99,23,3.65,Standard
sector 45,24,4.26,Basic
sector 22,25,0.18,Basic
sector 63,25,4.6,Premium
sector 63a,25,4.24,Premium
sector 2,25,3.92,Basic
sector 26,25,6.5,Premium
sector 88,25,2.97,Premium
sector 88a,25,2.9,Standard
sector 49,25,4.86,Premium
sector 37d,25,3.33,Basic
sector 89,28,4.0,Basic
sector 57,28,4.5,Basic
sector 102,28,4.2,Premium
sector 43,28,7.5,Standard
sector 89,28,3.0,Premium
sector 43,28,7.75,Premium
sector 33 sohna,28,4.3,Premium
sector 102,29,3.75,Basic
sector 5,32,4.0,Premium
sector 91,33,4.09,Basic
sector 22,42,0.9,Basic
sector 2 sohna,42,0.07,Basic
sector 105,42,0.23,Basic
sector 99,42,0.12,Basic
sector 67,42,0.07,Standard
sector 102,42,7.25,Standard
sector 73,42,9.5,Premium
sector 33,42,0.17,Premium
sector 67,42,0.07,Basic
sector 33,42,0.04,Basic
sector 12,42,0.04,Basic
sector 25,43,13.0,Standard
sector 102,44,6.11,Premium
sector 73,46,9.0,Basic
sector 88b,46,4.0,Premium
sector 26,46,10.0,Premium
sector 24,47,8.5,Standard
sector 60,48,11.1,Premium
sector 38,50,1.25,Basic
sector 24,50,1.4,Basic
sector 11,50,0.38,Basic
sector 57,50,1.5,Basic
sector 17,50,0.23,Basic
sector 42,50,1.33,Basic
sector 68,50,0.04,Basic
sector 47,50,1.4,Basic
sector 50,50,1.6,Standard
sector 24,50,1.25,Basic
sector 10a,50,0.43,Basic
sector 55,50,1.2,Basic
sector 43,50,1.25,Premium
sector 42,50,1.2,Premium
sector 40,50,1.05,Standard
sector 43,50,1.2,Standard
sector 49,50,1.75,Premium
sector 43,50,1.3,Premium
sector 43,50,1.25,Basic
sector 43,50,1.2,Premium
sector 55,50,1.15,Premium
sector 24,50,1.15,Premium
sector 24,50,1.25,Premium
sector 28,50,1.2,Premium
sector 26,50,1.0,Premium
sector 43,50,1.25,Standard
sector 43,50,1.43,Premium
sector 73,50,10.76,Premium
sector 49,50,1.5,Standard
sector 48,50,0.85,Premium
sector 43,50,1.45,Standard
sector 42,50,1.2,Standard
sector 43,50,1.1,Premium
sector 49,50,1.1,Premium
sector 48,50,0.81,Premium
sector 49,50,1.07,Premium
sector 55,50,0.96,Premium
sohna road,50,0.35,Premium
sector 22b,51,0.9,Basic
sector 113,51,2.77,Premium
sector 43,51,1.25,Standard
sector 2,51,7.0,Basic
sector 68,52,0.08,Standard
sector 24,52,10.5,Premium
sector 46,52,1.35,Premium
sector 38,52,1.15,Standard
sector 42,52,1.25,Standard
sohna road,54,0.3,Basic
sector 56,54,1.3,Basic
sector 43,55,1.21,Standard
sector 67,59,0.13,Standard
sector 99,60,6.78,Standard
sector 11,60,0.1,Premium
sector 7,63,1.1,Basic
sector 67,63,0.11,Standard
sector 49,63,1.05,Premium
sohna road,64,0.46,Basic
sector 81a,65,0.35,Standard
sohna road,65,0.39,Basic
sector 42,65,1.7,Basic
sohna road,65,0.24,Premium
sector 38,66,1.4,Basic
sector 67,66,0.26,Standard
sector 52,66,1.2,Standard
sector 105,67,0.47,Basic
sector 23a,67,0.29,Basic
sector 66,67,0.26,Standard
sector 42,67,1.6,Premium
sector 42,67,1.58,Premium
sector 42,67,1.8,Standard
sector 67a,67,0.14,Standard
sector 67,67,0.12,Basic
sector 67,67,0.12,Standard
sector 56,68,1.8,Basic
sector 42,69,1.75,Basic
sector 35 sohna,69,0.54,Premium
sector 55,70,3.0,Basic
sector 42,70,1.6,Premium
sector 42,71,1.9,Basic
sector 4,71,0.54,Basic
sector 50,72,12.5,Premium
sohna road,73,0.6,Standard
sohna road,73,0.53,Standard
sohna road,75,0.3,Basic
sohna road,75,0.5,Premium
sector 88b,75,0.9,Premium
sohna road,75,0.27,Premium
sector 67,75,0.16,Standard
sector 110,76,0.41,Basic
sector 7,81,0.75,Standard
sohna road,81,0.33,Standard
sector 52,82,1.6,Basic
sector 95a,82,0.76,Basic
farukhnagar,83,0.25,Basic
sector 2,84,0.46,Basic
sector 9,84,1.0,Basic
sector 40,84,1.82,Basic
sohna road,84,0.16,Basic
sohna road,84,0.09,Standard
sector 105,84,0.47,Basic
sector 43,84,3.1,Basic
sector 40,84,1.9,Basic
sector 69,84,0.6,Basic
sultanpur,84,0.1,Basic
sector 11,84,1.1,Standard
sector 17a,84,1.47,Premium
sector 5,84,1.28,Standard
sector 68,84,0.25,Basic
sector 67,84,0.22,Basic
sector 11,84,0.21,Basic
farukhnagar,84,0.25,Basic
sector 67,84,0.16,Basic
sector 47,84,2.0,Basic
sector 46,84,2.1,Basic
sector 57,84,1.6,Premium
sector 47,84,1.85,Standard
sector 67,84,0.3,Standard
sector 67,84,0.17,Standard
sector 67,84,0.15,Standard
sector 67,84,0.15,Standard
sohna road,84,0.3,Premium
sector 95,84,0.9,Premium
sector 95,84,0.99,Premium
sector 42,84,2.25,Premium
sector 46,84,1.95,Standard
sector 40,84,1.8,Premium
sector 33,84,0.55,Premium
sector 66,84,0.32,Premium
sohna road,84,0.33,Premium
sector 52,84,1.65,Standard
sector 78,84,1.25,Standard
sector 93,84,0.87,Basic
sector 45,84,1.8,Premium
sector 52,84,1.48,Premium
sector 40,84,1.65,Premium
sector 45,84,1.81,Premium
sector 67,84,0.28,Basic
sector 42,84,2.15,Premium
sector 42,84,2.3,Standard
sector 33,84,0.18,Standard
sector 51,84,1.8,Premium
sector 95,84,0.85,Basic
sector 95,84,0.8,Basic
sector 27,84,2.3,Premium
sector 33,84,0.33,Premium
sohna road,84,0.31,Standard
sector 42,84,2.35,Premium
sector 43,84,2.4,Premium
sector 27,84,2.5,Premium
sector 27,84,2.45,Premium
sector 40,84,2.1,Premium
sector 2,84,0.25,Standard
sector 23,84,1.6,Standard
sector 41,84,1.8,Premium
sohna road,84,0.55,Premium
sector 5 sohna,84,0.7,Standard
sector 2,84,0.5,Basic
sector 11,84,0.18,Premium
sohna road,84,0.18,Premium
sector 11,84,0.17,Premium
sector 11,84,0.15,Standard
sector 67,84,0.15,Basic
sector 67,84,0.31,Basic
sector 75,84,0.3,Basic
sector 42,84,2.1,Standard
sector 7,84,1.3,Premium
sector 7,84,1.35,Premium
sector 57,84,1.8,Premium
sector 52,84,2.1,Standard
sector 5,84,1.47,Standard
sector 2,84,0.6,Basic
sector 33 sohna,84,0.09,Standard
sohna road,85,0.6,Standard
sector 33,85,0.55,Premium
sohna road,85,0.93,Premium
sector 46,85,1.85,Standard
sector 46,86,2.1,Premium
sector 22,87,0.42,Basic
sector 43,87,2.28,Premium
pataudi,87,0.5,Standard
sohna road,87,0.81,Premium
sector 22,89,0.8,Standard
farukhnagar,89,0.4,Basic
sector 110 a,89,1.6,Basic
sector 110 a,90,1.8,Standard
sector 35 sohna,90,0.66,Premium
sohna road,90,1.05,Basic
sector 51,90,1.85,Premium
sector 35 sohna,90,0.65,Premium
sector 35 sohna,90,0.65,Premium
sector 2 sohna,90,0.63,Premium
sector 35 sohna,90,0.72,Premium
sector 35 sohna,90,0.6,Premium
pataudi,92,0.65,Basic
sector 40,92,2.4,Basic
sector 51,92,1.6,Basic
sector 99a,92,1.21,Standard
sector 93,92,0.96,Basic
sector 45,92,2.2,Standard
sector 45,92,2.2,Basic
sector 40,92,2.1,Standard
sector 12,93,0.8,Basic
sector 66,93,0.35,Standard
sohna road,94,0.75,Standard
sector 99a,94,1.13,Premium
sector 99a,94,0.96,Basic
sector 99a,94,1.02,Basic
sector 88b,94,1.2,Premium
sector 88b,94,1.3,Premium
sector 99a,94,1.24,Basic
sector 88b,94,1.24,Premium
sector 99a,95,1.13,Premium
sector 78,96,1.35,Premium
sector 78,96,1.5,Premium
sector 93,96,1.0,Basic
sohna road,96,0.36,Premium
sector 82a,96,1.55,Standard
sector 95,96,0.92,Basic
sector 88b,96,1.15,Basic
sector 99a,96,0.98,Basic
sector 78,96,1.26,Basic
sector 99a,96,1.15,Premium
sector 102,96,1.61,Premium
sector 22,98,0.42,Basic
sector 47,98,19.5,Premium
sector 82,98,1.4,Standard
sector 106,98,1.28,Standard
sector 99a,98,1.17,Premium
sector 88a,98,1.17,Premium
sector 2,98,0.93,Standard
sector 88a,98,1.16,Premium
sector 95b,99,0.3,Basic
sector 68,99,0.39,Standard
sector 102,99,1.75,Premium
sector 102,99,1.71,Premium
sohna road,99,0.89,Premium
sector 106,100,1.21,Basic
sector 106,100,1.2,Premium
sector 82a,100,1.5,Basic
sector 5 sohna,100,0.66,Premium
sector 85,100,1.75,Premium
sector 5 sohna,100,0.66,Premium
sector 95b,100,0.18,Basic
sector 67,100,0.2,Premium
sector 88b,100,1.32,Standard
sector 93,100,1.44,Premium
sector 95a,100,0.9,Premium
sector 95,100,0.96,Premium
sector 95,100,1.1,Basic
sector 95a,100,0.77,Basic
sector 95a,100,0.82,Premium
sector 95,100,1.11,Premium
sector 93,100,1.0,Premium
sector 78,100,1.34,Premium
sector 95a,100,1.65,Premium
sector 83,100,1.8,Premium
sohna road,100,0.65,Premium
sector 112,100,1.56,Premium
sector 11,100,0.15,Premium
sector 99a,100,1.06,Premium
sector 95a,101,0.95,Premium
sector 95,101,0.98,Basic
sector 95a,101,0.85,Basic
sohna road,102,0.62,Premium
sector 99a,102,1.04,Basic
sector 95,102,0.98,Basic
sohna road,103,1.05,Basic
sohna road,103,1.17,Standard
sector 99a,103,1.04,Premium
sohna road,104,0.74,Basic
sector 5 sohna,104,0.68,Premium
sector 35 sohna,104,1.04,Premium
sector 102,104,1.76,Premium
sector 56,105,2.8,Basic
sector 69,105,1.1,Basic
sector 93,105,1.63,Basic
sohna road,105,0.51,Basic
sector 17a,105,0.31,Basic
sector 7,105,1.25,Basic
sector 4,105,0.85,Premium
sohna road,105,1.13,Standard
sohna road,105,0.95,Premium
sector 95,105,0.94,Basic
sector 112,105,1.88,Premium
sohna road,105,1.13,Premium
sector 112,105,1.88,Standard
sector 56,105,2.48,Standard
sector 56,105,2.6,Standard
sector 56,105,2.55,Premium
sector 99a,105,1.13,Premium
pataudi,105,0.15,Basic
sohna road,106,0.72,Premium
sohna road,107,1.09,Premium
sector 35 sohna,107,0.95,Premium
sohna road,107,0.96,Premium
sector 5 sohna,107,0.7,Premium
sector 35 sohna,107,0.96,Standard
sector 99a,107,1.13,Premium
sector 67,107,0.22,Premium
sector 35 sohna,107,0.87,Premium
sohna road,107,0.9,Premium
sector 88a,107,1.28,Premium
sector 35 sohna,107,0.96,Premium
sector 95,108,1.15,Premium
sector 112,108,1.7,Basic
sector 112,108,1.68,Premium
sohna road,109,0.97,Premium
sector 112,109,1.69,Standard
sector 88b,109,1.25,Premium
sector 88b,109,1.26,Premium
sector 95,109,1.04,Basic
sector 106,109,1.29,Standard
sector 102,109,1.82,Premium
sector 70a,110,1.9,Premium
sector 70a,110,1.76,Premium
sector 70a,110,1.8,Premium
sector 70a,110,1.35,Premium
sector 78,110,1.7,Premium
sector 70a,110,1.7,Premium
sohna road,110,0.82,Standard
sohna road,110,0.22,Premium
sector 70a,110,1.75,Premium
sector 78,110,1.32,Basic
sector 99a,110,1.12,Basic
sector 88a,110,1.58,Basic
sector 112,110,1.7,Premium
sector 70a,110,1.57,Premium
sector 70a,110,1.78,Premium
sohna road,111,1.0,Premium
sector 2 sohna,111,0.07,Premium
sohna road,111,0.67,Premium
sector 26,111,0.6,Basic
sector 102,113,1.92,Premium
sector 112,113,1.75,Premium
sector 102,113,1.96,Premium
sector 99a,113,1.19,Premium
sohna road,114,1.16,Basic
sector 70a,114,1.73,Premium
sohna road,114,1.02,Premium
sector 35,114,0.95,Premium
farukhnagar,115,0.63,Basic
sector 102,115,1.93,Basic
sector 88a,115,1.37,Premium
sector 112,115,1.79,Premium
sector 88a,115,1.45,Premium
sector 93,115,1.63,Premium
sector 112,115,1.86,Premium
sector 35 sohna,115,1.03,Premium
farukhnagar,115,0.63,Premium
sector 35,117,1.4,Basic
sector 102,117,1.82,Basic
sector 105,117,1.5,Basic
sector 93,117,1.08,Standard
sector 112,117,1.82,Standard
sector 102,117,2.0,Premium
sector 85,117,1.75,Premium
sector 35 sohna,117,0.98,Premium
sector 85,117,1.82,Standard
sector 85,117,1.9,Standard
sector 88a,117,1.48,Premium
sector 85,117,1.9,Premium
sohna road,118,0.78,Premium
sector 102,118,1.99,Premium
sector 82a,118,1.8,Premium
sector 70a,118,2.01,Premium
sector 4 sohna,119,0.78,Premium
sector 78,119,1.85,Premium
sector 99a,119,1.25,Premium
sohna road,120,1.22,Basic
sohna road,120,1.38,Premium
sohna road,120,1.32,Premium
sector 93,120,1.72,Standard
sohna road,120,1.36,Premium
sector 36 sohna,120,1.15,Premium
sector 85,121,1.89,Standard
sohna road,121,1.25,Premium
sector 102,121,2.03,Premium
sector 35 sohna,122,1.32,Premium
sector 23,123,2.57,Standard
sector 99a,123,1.23,Standard
sector 99a,123,1.25,Basic
sector 99a,123,1.32,Standard
sector 45,124,3.35,Basic
sohna road,124,0.8,Basic
sector 88a,124,1.47,Premium
sector 78,124,1.92,Basic
farukhnagar,125,0.18,Basic
sector 85,125,1.43,Premium
sector 95,125,1.35,Basic
sector 66,125,1.2,Premium
sector 35,125,1.47,Basic
sector 99a,125,1.57,Premium
sector 3,125,0.8,Standard
sector 5 sohna,125,0.8,Premium
sector 2,125,0.75,Basic
sector 5 sohna,125,0.82,Standard
sector 67,125,0.24,Standard
sector 73,125,2.34,Standard
sector 88b,125,1.43,Premium
sector 25,125,3.85,Premium
sector 83,125,1.73,Premium
sector 83,125,1.63,Premium
sector 70a,125,3.65,Premium
sector 95,125,1.2,Premium
sohna road,125,1.5,Premium
sector 93,125,1.27,Premium
sector 78,125,1.95,Premium
sector 82,125,1.8,Standard
sector 70a,125,2.63,Premium
sector 88a,125,1.65,Premium
sector 88a,125,1.67,Premium
sohna road,125,1.44,Premium
sector 24,125,4.5,Premium
sector 95,125,1.02,Basic
sector 82a,125,1.8,Premium
sector 95,125,1.27,Premium
sector 78,125,1.68,Premium
sector 3,125,0.5,Premium
sector 70a,125,1.97,Premium
sector 93,125,1.72,Basic
sector 25,125,4.5,Basic
sector 26,125,3.8,Premium
sector 35 sohna,125,1.2,Premium
sector 88a,125,1.57,Premium
sector 11,125,0.16,Premium
sector 88a,125,1.57,Premium
sector 67,125,0.45,Standard
sector 99a,125,1.32,Premium
sector 57,125,2.6,Premium
sector 25,126,4.0,Premium
sohna road,126,1.28,Premium
sector 99a,126,1.59,Premium
sector 88a,126,1.67,Standard
sector 83,127,1.75,Premium
sector 83,127,1.74,Standard
sector 78,127,1.98,Premium
sector 99a,127,1.5,Premium
sector 99a,127,1.49,Premium
sohna road,127,0.27,Premium
sector 102,128,2.58,Premium
sohna road,128,1.22,Premium
sector 95,128,1.38,Premium
sector 70,129,1.91,Standard
sector 99a,129,1.61,Premium
sohna road,130,0.5,Basic
sector 102,130,2.32,Basic
sector 95,130,1.32,Basic
sector 83,130,1.86,Standard
sector 5 sohna,130,0.94,Premium
sector 102,130,2.31,Premium
sector 99a,130,1.55,Premium
sector 70a,130,2.26,Premium
sector 83,130,1.86,Standard
sector 95,130,1.24,Premium
sector 95,130,1.25,Premium
sector 99a,130,1.71,Premium
sector 95,130,1.24,Premium
sector 112,130,2.03,Premium
sector 95,130,1.4,Premium
sohna road,131,1.5,Basic
sector 95,131,1.1,Premium
sector 5 sohna,131,0.94,Premium
sohna road,132,1.2,Premium
sector 7,134,1.6,Basic
sector 95b,134,0.27,Basic
sector 95b,134,0.56,Basic
sector 9,134,2.1,Basic
sector 67a,134,0.28,Premium
sector 110a,134,1.12,Basic
sector 89,134,1.5,Premium
sector 83,134,1.92,Premium
sector 88b,134,1.68,Premium
sector 67,134,0.27,Premium
sector 54,134,4.3,Premium
sector 102,134,2.24,Premium
sohna road,134,0.88,Premium
sector 47,134,2.8,Premium
sector 47,134,2.84,Premium
sector 102,134,2.16,Premium
sector 9a,134,2.08,Basic
sector 23a,135,2.6,Standard
sector 42,135,3.25,Basic
sector 57,135,3.0,Basic
sector 99a,135,2.0,Basic
sector 57,135,2.82,Basic
sector 42,135,3.19,Basic
sector 45,135,2.9,Premium
sector 57,135,2.51,Premium
sector 99a,135,1.6,Premium
sector 99a,135,1.7,Premium
sector 46,135,2.67,Standard
sector 42,135,3.8,Standard
sector 43,135,3.99,Premium
sector 46,135,2.7,Standard
sector 38,135,2.4,Standard
sector 52,135,2.19,Basic
sector 46,135,2.8,Standard
sector 43,135,3.62,Standard
sector 23a,135,2.3,Standard
sector 42,135,3.47,Premium
sector 47,135,3.1,Premium
sector 99a,135,2.02,Standard
sector 45,135,2.74,Standard
sector 4,135,2.25,Basic
sector 27,135,3.5,Premium
sector 46,135,3.1,Premium
sector 46,135,3.2,Standard
sector 38,135,2.9,Standard
sector 40,135,3.0,Standard
sector 99a,135,1.42,Premium
sector 57,135,2.2,Basic
sector 46,135,3.1,Standard
sector 46,135,2.96,Premium
sector 46,135,3.22,Standard
sector 56,135,2.8,Premium
sector 45,135,3.2,Basic
sector 23,135,2.3,Standard
sector 52,135,2.08,Standard
sector 57,135,2.75,Standard
sector 10,135,2.1,Basic
sohna road,135,1.21,Premium
sector 47,135,2.83,Premium
sector 38,135,2.75,Premium
sector 42,135,3.04,Premium
sector 22,135,2.6,Standard
sector 23,135,2.55,Standard
sector 45,135,3.2,Standard
sector 70a,135,3.24,Premium
sector 42,136,3.0,Basic
sector 28,136,2.58,Basic
sector 42,136,2.99,Premium
sector 23,136,2.5,Premium
sector 43,136,3.5,Premium
sector 51,136,2.35,Premium
sector 93,136,1.79,Premium
sector 24,136,3.4,Premium
sector 35 sohna,137,1.32,Premium
sector 82a,138,1.98,Standard
sector 88b,138,1.57,Premium
sector 88b,138,1.53,Standard
sector 88b,138,1.9,Premium
sector 35,138,1.24,Premium
sector 35 sohna,138,1.4,Premium
sector 99a,138,1.45,Premium
sector 35 sohna,139,1.04,Premium
sector 35 sohna,140,1.1,Basic
sector 5,140,2.45,Standard
sector 57,140,2.35,Premium
sector 5,140,2.25,Basic
sector 99a,140,1.84,Premium
sector 95,140,1.26,Basic
sohna road,140,1.6,Premium
sector 3,140,0.58,Basic
